text,in_reply,is_sarcastic
"@GuilhermeBoulos , q greve, hein?! O país está parado, não tem ninguém produzindo nada, está todo mundo, engajado nessa luta contra o presidente Bolsonaro... #SQN KKKKK Ontem, rolamos de rir da greve pífia de vcs, um monte de vagabundos atrapalhando o país!!
#PrevidênciaDoGuedes",,1
Especialmente hoje amando a CBF. #sqn,,1
@pampinhos Reclamando de barriga cheia a gay. #sqn,@pampinhos 🥺🇮🇹,1
"@davialcolunbre @rotrigomaia Você, Rodrigo Maia e o centrão estão muito preocupados com o futuro do país. #SQN #SenadoVergonhadoBrasil",Eu e o presidente @rotrigomaia estamos trabalhando em sintonia para o futuro do país. Até abrimos uma passagem entre nossas residências oficiais para podermos dialogar sobre temas relevantes para o país mesmo fora do expediente e fora da agenda oficial.,1
"@igorzismo Aprende a escrever seu BANDINDIN.... Não é perda, e sim PERCA!! 😱😱😱 Vou chamar o TUBARÃO DA LEI pra te prender: ADVOGADO PALOOOOOOOOOMA 🤣🤣🤣 #SQN #Bandindin",Que perda cinemistica. Grande alegria já ter sido comentado por Rubens Ewald Filho. 👏👏 https://t.co/grIWSEuUkB,1
"@mari1ana_ @Su_MFerreira Viste o meu inquérito ontem?
Foi precisamente por causa disso que o fiz! Secalhar acham q vamos cair na tentação de adorá los e retribuir da mesma forma... #sqn",@God_is_a_she @Su_MFerreira Hei de perceber o que é que passa na cabeça dos gajos para acharem que as mulheres gostam de receber essas fotos de um gajo random. 🙄,1
@QualMal O teu tweet podia prever eu ter mamas do tamanho de tangerinas e por consegui ela ter mamas tamanho toranja... #sqn,,1
"@LuSapori Pega fogo gabaret! 🤣🤡

#MoroCriminoso #EuApoioTheIntercept #VazaJato #DeportaGreenwald #Sqn","Não queremos estes espiões no Brasil! 
#DeportaGreenwald https://t.co/sBHi2lB1Rx",1
"@J_LIVRES Ahhhh tá! Então, ok! Ufa!!! 
#SQN #MoroCriminoso #MoroEDallagnolNaCadeia #MoroGate  #BolsonaroEnvergonhaoBrasil",HAHAHAHAHAHAHAHA https://t.co/96mrFxIHke,1
"@Ap21Tati @prefsp Mas a culpa é de quem não quer vacinar, não dá falta de vacinas em geral nos postos... #sqn","#sp1 Não tem vacina da gripe na UBS Elísio Teixeira Leite, acabou sábado e não tem previsão de ter novamente. E aí @prefsp, como é que fica? Eu já tomei faz tempo, mas hj muita gente passou lá e voltou sem vacina.",1
O cliente chegou 3 minutos antes do pregão. Eu amo essa adrenalina #sqn,"Parece que não importa o quanto eu apavore o cliente, eles nunca chegam no horário. Vou começar a dizer que a audiência é mais cedo do que realmente é, quem sabe assim funciona.",1
@UOLNoticias Ah então tá então@#SQN #MoroCriminoso,"'Moro me garantiu que não houve desvio de conduta', afirma Joice https://t.co/k7KUCycKfP",1
Bovespa derretendo pós escândalo do Intercept! Ninguém leva em consideração nada da imprensa de esquerda!  #SQN https://t.co/rzwieByfpN,,1
"Hoje foi movimentado por aqui. Perfis, fakes e bots cumprindo o papel de sensores da internet. Estou incomodado ao ponto de dormir em pé na rede. #sqn",,1
"@SF_Moro Quase fiquei sem ar! Precisa aprender a usar pontuação. Dito isto, a reportagem deixou bem claro o quão ""apartidário"" vc é! #sqn #VazaJato","Muito barulho por conta de publicação por site de supostas mensagens obtidas por meios criminosos de celulares de procuradores da Lava Jato. Leitura atenta revela que não tem nada ali apesar das matérias sensacionalistas. Abaixo nota.

https://t.co/PevIk4BGX6",1
É arrogante de sua parte se colocar como juiz de relevância do que eu publico. Típico de quem afirma ser tolerante. #sqn https://t.co/sR2jy6QnUR,,1
"Cara de quem tá super afim numa segunda-feira nublada... #sqn #forçaném #foconasbanhas em New Westminster, British Columbia https://t.co/1IykvyHgSO",,1
"@agfon21 @CoringoForever1 São Paulo foi eliminado na 1a fase mata-mata da pré-Libertadores, nas oitavas da copa do Brasil e foi vice no Paulista, ô ano bom! #SQN
Prantos foi eliminado na 1a fase mata-mata da Sul-Americana, nas oitavas da copa do Brasil e nas semifinais do Paulista, ô ano bom, também! #SQN","@CoringoForever1 @liviaformozo Falaram q 2018 do SP foi melhor q o do SCCP pq chegaram na pré da pré libertadores, e o ano de título do SCCP valeu nada, kkkkkkk, bizarro",1
Já tinha saudades de apanhar com esta ventania toda da Póvoa &lt;3 #sqn,,1
"@jairmearrependi Agora fico mais tranquilo, a Joice disse tá dito #sqn","Ah, então tudo bem.
https://t.co/ZKvPVAiceo",1
"Esquizofrenia burocrática é isso... alvará de construção após 136 anos de obras...

Ainda bem que agora tem alvará, mudou tudo em termos de segurança na obra! #SQN

https://t.co/RPe1ya3sCO",,1
"@1jl4com Trump perdendo o sono com as ameaças do Irã.
#SQN",EUA não devem se sentir seguros após iniciarem guerra econ.. https://t.co/sTLTHpth15,1
"@zeca_dirceu Zequete, o justiceiro.#sqn.","Entenda:
Tragédia na boate Kiss: 242 mortos, 6 anos, ninguém preso.
Processo de Lula: sem crime, sem provas, julgado e condenado em 2 meses.
Os dois casos no TRF 4.",1
Super Moro... Mais um grande honesto... #SQN,,1
@socio_ouro Se quiser pode vaiar também o Cuesta na Argentina e o Nico no Uruguai... #SQN,"Então vaiaram o Everton??
Espera só o Brasil vir jogar na Arena... 
Vou vaiar o Dourado, Ednilson, Lomba, Zeca e Moledo !

#Risos",1
"Com as acusações bombásticas um jornalista ""super"" confiável com vinculo com o PSOL, Vou pedir o que @SF_Moro seja retirado do cargo, #SQN.
#EuApoioaLavaJato",,1
Perguntas difícil de responder: A quem interessa hackear juizes da lava-jato? #sqn,,1
@o_antagonista Gilmar Mendes nunca fez isso na vida. Que cara de reputação ilibada. #sqn #Lavajato #SomosTodosLavaJato,Gilmar Mendes: “O fato é muito grave” https://t.co/zYQ9xtdEYI,1
"@DeputadoFederal Exatamente como acontece hoje. #SQN
#BolsonaroMeuPresidente",Bolsonaro viajando pelo mundo https://t.co/VawJV3xGT7,1
"@leandroruschel Tá  fazendo constatações igual o presidente, fazendo lei pelo Facebook. Isso que é apreço pelo rigor científico e pelo método, #sqn hahaha","#EuApoioaLavaJato com mais de 141K de mensagens. O apoio ao portal esquerdopata conta com 21K de mensagens.

O desespero da quadrilha é que o povo em massa apoia Moro.",1
@exame Nossa... Ele é homem de palavra! #sqn,"Moro me garantiu que não houve desvio de conduta, afirma Joice https://t.co/o8mqaNYSL8",1
@UOLNoticias HAHAHAHAHA se o Moro garantiu ta garantido #sqn #vazajato,"'Moro me garantiu que não houve desvio de conduta', afirma Joice https://t.co/k7KUCycKfP",1
"@deltanmd Arrã... Tudo normal, né? #sqn","O procurador regional Guilherme Schelb analisou no Facebook as mensagens privadas divulgadas pelo Intercept. ""Não se observa nenhuma mensagem entre Dallagnol e Moro que revele intromissão funcional indevida"" https://t.co/gmxSD9ngS6",1
"Vai, Ciro! #SQN, era só basófia, como sempre... https://t.co/5zks2tPMTa",,1
@ALEXSAN88384351 @deltanmd Muito importante e relevante seu apoio #sqn,@deltanmd #EuApoioaLavaJato,1
Ótimo dia para dormir! #sqn #goodmorning,,1
"@bicmuller Sem nenhum interesse pessoal, claro #sqn","Ces lembram desse dia?

https://t.co/JZiYoKRlm4",1
@dilmabr #sqn kkkk em breve vc vai junto,Processos corrompidos pela fraude na Lava Jato implicam em liberdade imediata de Lula. #LuLalivre,1
"Conversas vazadas da Lava Jato: “Precisamos prender corruptos”.
Conversas vazadas entre petistas: “Precisamos evitar que corruptos sejam presos”. Solução: soltar a alma mais honesta do planeta #SQN 😉.
#EuApoioaLavaJato",,1
Justiça imparcial? #SQN #EuAvisei #moroparcial https://t.co/tCzEiPveyF,,1
Justiça imparcial? #SQN #moroparcial #EuAvisei https://t.co/kKOxHmpWWp,,1
Justiça imparcial #SQN #moroparcial #EuAvisei https://t.co/qeA540Gf2Q,,1
"@G4B1S @carlafu57952121 @febeapareloaded @JanainaDoBrasil Interessante.. A Dilma q cometeu crimes, ele suaviza. Bolsonaro que ele n consegue provar nada, ele condena. Bem coerente ! #sqn","@carlafu57952121 @febeapareloaded @JanainaDoBrasil isso só nos 3 primeiros meses 

https://t.co/aK5lABbWci",1
@deltanmd A gente acredita senhor https://t.co/Hb2v07Uctt.ra.dor power point de Taubaté #sqn https://t.co/j04pYlmArX,"O trabalho do MPF na Lava Jato, de novo, é técnico, imparcial e apartidário, buscando a responsabilização quem quer que tenha praticado crimes no contexto do megaesquema de corrupção na Petrobras.",1
"2 pesos e 2 medidas, né? Moro imparcial? #SQN https://t.co/d6WeUqAVRC",,1
"@IgorJuliao2 E na tabela? Estão bem mesmo!! #sqn, né???!",Merecíamos mais. https://t.co/Gvvh60kE7t,1
"Desqualificar o jornalista. Que bela estratégia, né? #sqn #TragoVerdades",,1
@monicabergamo @TheInterceptBr Que jornalismo imparcial e sem viés ideológico....#SQN,"As reportagens do @TheInterceptBr mostram como os procuradores tramavam para censurar a entrevista de Lula à Folha, que seria feita por mim. Eles ""rezavam"" para o PT perder as eleições e temiam que uma fala de Lula elegesse Haddad.
https://t.co/9BdrWw4mED",1
"Fico pensando como esse sujeito que não nem articular uma fala conseguiu fazer o que ele fez...

#EuApoioTheIntercept 

#EuApoioaLavaJato #Sqn https://t.co/pGJQGjdCyA",,1
Desde quando os fins justificam os meios?  #EuApoioaLavaJato #sqn,,1
"@URBe Você sabe se rola de comprar umas ações? rsrs

#EuApoioTheIntercept 

#EuApoioaLavaJato #Sqn",Hj quem terá um bom dia será o vendedor de PANO no sinal.,1
@hilde_angel Voz embarcada ontem no Fantástico. De dar pena mesmo! #sqn,"Pena dos apresentadores televisivos, usualmente tão incisivos, precisarem imprimir um tom apático, quase fofo, como se estivessem relatando amenidades, enquanto relatam os fatos gravíssimos da #VazaJato",1
"@Jairbolsonano Lembrando q a rapaziada da #VazaJato ainda tá afim de controlar o $ que foi ""repatriado"" ... Tudo ""mininu bão"" #SQN","O Dalagnol se enrolou, faltou combinar com os russos, tá ok?

Ops.

 Acho que ele combinou com o Russo (Moro) por ocasião do Viés Ideológico na Lava Jato.

Será que isso poderia anular a eleição, além da Cúestão do Caixa 2 Eleitoral?

Vamos torcer👍",1
@reinaldoazevedo Nossa !!!! Que graveeeee!!!! #sqn #LavaJatoOrgulhoNacional,"ah, vejam como Dallagnol e Moro comemoraram o vazamento ilegal da conversa entre Dilma e Lula. E, agora, falam em vazamentos criminosos... Crime vazamento publicado pela imprensa? E vazamento ilegal decidido, de caso pensado, por juiz?
https://t.co/tz6l09p0vw",1
"@roxmo Nossa , fizeram até arte na notinha do Moro.... explica tudo né! #sqn #vazajato",https://t.co/2ZXiQaaPYx,1
"RT @pavarini: Em maio @jairbolsonaro disse vai indicar o ministro da Justiça (#sqn), Sergio Moro , para o Supremo Tribunal Federal. O acord…",,1
"#Eu uso #óculos. #SQN em João Pessoa, Pb - Cidade Maravilha https://t.co/wtUX9KtN37",,1
@lance_palmeiras Devem ter o melhor ataque tb #sqn,DNA ofensivo: Santos e Fluminense são os times que mais finalizam certo no Brasileiro https://t.co/IuNkk5NdVO https://t.co/86fslGe4hU,1
O isentão ... #sqn #VazaDeltan #TheInterceptBrasil #VazaJato #EuApoioTheIntercept https://t.co/ZzkShoUEBO,,1
12 toneladas de lixo no Everest. Estão fazendo certinho! #sqn https://t.co/2Dl8OhO9OB,,1
"@tchapatata Pois claro. Foi aqui dito que é uma minoria, não interessa. E como são homens, estão naturalmente privilegiados... #SQN (é o que temos)",porque não há prostituição masculina. enfim https://t.co/XQW7579eB5,1
@VEJA @BlogdoNoblat Glen é muito confiável #sqn #EuApoioaLavaJato,"Dallagnol lista políticos citados em delação e Moro diz para acusar só 30%, segundo textos vazados; invasão de hacker a telefones e aplicativos de procuradores deixa o ex-juiz em maus lençóis. No @BlogdoNoblat https://t.co/LSjrGyuzsR",1
"@newscolina engraçado que o Vasco mantém Marcelo Mattos por dois anos em tratamento e quando ele fica bom manda ele embora
 mas traz um cara que ficou dois anos parado sem conhecer a história dele.
Bem coerente
Viva euriquinho. #sqn","Renê sofreu uma grave lesão no joelho esquerdo em 2018, que o deixou sem atuar por quase um ano. Recentemente, em março de 2019, passou por uma artroscopia, tratada como natural pelos médicos. Pelo Corinthians atuou 12 vezes e marcou um gol.

(📷: Tiago Caldas/Estadão Conteúdo) https://t.co/mkUM7Yr0pu",1
"Em maio @jairbolsonaro disse vai indicar o ministro da Justiça (#sqn), Sergio Moro , para o Supremo Tribunal Federal. O acordo parece que desMOROnou... https://t.co/raX061LSz7",,1
"Estamos em #dayoff, né @dthemis? #sqn 😂😂😂 E amanhã teremos a nossa animada ""Terça do Cristal"" lá na @WatchMixer.  Só vem!  https://t.co/8ZwKO7RWln https://t.co/gOPQBsAxMD",,1
"RT @vm_roma: Caso Neymar : “o único crime cometido até agora foi Neymar divulgando fotos íntimas”

Caso Lava jato: “o único crime cometido…",,1
"RT @s_ffreitas: @o_antagonista Ah!! Opinião do Flávio Dino, do PCdoB! Super isento! #SQN #EuApoioaLavaJato",,1
"@AnaClaudiaNoTT Foi a partir da clonagem do celular do Moro. É claro que para a NSA nada é impossível mas isso ai foi coisa do PSOL/PC do B e PT, unidos para retomar o poder. 
#SQN",,1
"@UOLNoticias Meu Deus, eu tava louco pra saber a opinião do Reinaldo Azevedo kkkk #SQN",Opinião: Dallagnol confessa falta de provas contra Lula e truque usado para acusá-lo https://t.co/hfFHVCOTOZ,1
"@o_antagonista Ah!! Opinião do Flávio Dino, do PCdoB! Super isento! #SQN #EuApoioaLavaJato",“Moro deve se afastar ou ser afastado” https://t.co/yfXIAXxACB,1
@pietro_sep Poxa que pena ...#sqn,Bom dia! Gostaria de avisar a todos que não vou mais no jogo contra o Avaí....Comemore torcedor. Os 3 pontos virão de forma mais tranquila!,1
"@naldo_silva @blogTO Whaaaaaaaat? 😱😱😱

Hahaha, tô lá já. #sqn",@blogTO @Lininha_FR look at this!! 😂,1
Bom dia #sqn https://t.co/kKTjB2CUNB,,1
"🤖🤖 Automação de Marketing é Realizado por robôs?

Muitos pensam que qualquer ação realizada automaticamente, por exemplo como seguir de volta uma pessoa ou agendar postagens em redes sociais já é uma Automação de Marketing em sua forma plena. #SQN https://t.co/WMEjmQ1YB3",,1
"Ainda não sei qdo lançar meu novo single #sqn 
-
Dia 12, aguardem. https://t.co/P4hBFpTlBk",,1
@SchoroederVon @lGlaucial @deltanmd É. Foi o PT quem inventou a corrupção no Brasil! #SQN,@lGlaucial @deltanmd https://t.co/LIl544n5Ds,1
"O super Moro, honestissimo... #sqn https://t.co/PZftxVqc3S",,1
RT @LuisHen16044008: Quanta conhecidencia né? #sqn https://t.co/9awNZQ65lu,,1
@BolsonaroSP Ah! tá. Vamos acreditar! #SQN https://t.co/DIpWZk3b6o,"É impressionante, onde chega o PR Bolsonaro é recepcionado com entusiasmo pelos cidadãos. Pode ser na rua, num shopping, num aeroporto. Nota-se que é algo espontâneo. Institutos de pesquisa deveriam ter vergonha de tentar insinuar que sua popularidade está em baixa.",1
Quanta conhecidencia né? #sqn https://t.co/9awNZQ65lu,,1
RT @_el_conde: Gentem... descobri que o Brasil está essa merda pq tem @s que querem seguidores mas não querem seguir quem as seguem. Isso é…,,1
"Na minha também! kkkkk
Cidadão de bem #SQN https://t.co/mNufNiTOON",,1
@HaddadDebochado E o jornalista que divulgou o vazamento é marido de político do PSOL. Acreditamos no desespero. #sqn #EuApoioaLavaJato,E não é atoa que os Procuradores de Curitiba inflaram tanto a população contra o STF nos últimos meses. Sabiam que bombas como essa vão cair no colo do STF e vão precisar do apoio popular mais uma vez para atacar a corte suprema,1
"RT @duart1908: Ah gente, super normal um juiz acusar, julgar e punir. E depois ganhar um cargo no governo que suas condenações ajudaram a e…",,1
"Ah gente, super normal um juiz acusar, julgar e punir. E depois ganhar um cargo no governo que suas condenações ajudaram a eleger. E além disso tudo, ser prometido a ele uma cadeira no STF pois ele tinha um ""pacto"" com o presidente. Tudo normal. #sqn",,1
"Gentem... descobri que o Brasil está essa merda pq tem @s que querem seguidores mas não querem seguir quem as seguem. Isso é importante #sqn.

Repassem.",,1
@heldermaldonado A lei é pra todos #sqn,"Se a justiça consegue prejudicar um gigante político como Lula, imagina o que ela não é capaz de fazer com você, comigo ou pessoas ainda menos favorecidas do que nós? Fiquem espertos. A lei, no Brasil, só vai estar ao lado dos interesses da elite e das castas políticas de sempre",1
@rafinhabastos @antoniotabet Eu impressionado com o conteúdo criminoso das conversas. #sqn,@antoniotabet E quem celebrou os 2 e acha que quem faz esqueminha tem mais é que se fuder? 60% do país... certeza.,1
"2% escutarão, por isso eles são os... raríssimos   :)

“AI x ONU, célula-tronco #sqn, ""bem-estar"" #sqn, urna eletrônica #sqn, Trump x nutrição” https://t.co/fDInbwRbu7 https://t.co/LvAL91Jrgz",,1
"@allandeabreu1 Pronto . Achei o ""sabe-tudo"" que define qual é ""a questão"". #sqn",A questão é: vale a pena cometer um ato imoral (divulgar conversas obtidas ilegalmente por um hacker) para desnudar atos imorais de pessoas públicas? Isso me perturba como jornalista https://t.co/C4hbM0CenO,1
"O gringo isentão que paga pau pra bandido e, literalmente, dá a bunda pra político do PSOL (é ajuntado com um). Credibilidade total #sqn https://t.co/WbuPr4vNpg",,1
"@folha Muito isento o sujeito
... #SQN https://t.co/vMQ29uif23",Site publica mensagens que mostram colaboração entre Moro e Deltan na Lava Jato https://t.co/q9QRBubkpC,1
@exame Os órfãos do lulopetismo estão em polvorosa!! “Temos que prender mais corruptos!” Foi o diálogo vazado. “Temos que liberar os corruptos!” quando vazaram o diálogo de Lula. Vai vendo... #LulaLivre #sqn #LulaTaPresoBabaca,,1
@maurocezar O Neymar teria feito a mesma coisa. #sqn,"Ainda bem que Cristiano Ronaldo só se preocupa em se ver no telão e fazer a sobrancelha, né?

https://t.co/scikammDPF",1
"RT @gondimricardo: Saíram do WhatsApp e foram pro Telegram porque era mais seguro.
#sqn",,1
"@rafinhabastos @antoniotabet A conversa cita em prender corruptos custe o que custa, mais se fosse uma propina ou algo do tipo não teria tanta repercussão.e a mídia que não tem como aponta o dedo buscando notícia de um site que surgiu e ao qual editor e filiado ao PSOL 
Tá vou acredita nessa no notícia
#sqn",@antoniotabet E quem celebrou os 2 e acha que quem faz esqueminha tem mais é que se fuder? 60% do país... certeza.,1
"Acham que a mamãe aqui e otária 🤔
#sqn",,1
"RT @pauloguedes1234: Cid Gomes disse que problema no Brasil não é corrupção.

Esse sabe muito. #sqn segundo a FIESP, o custo da corrupção (…",,1
"Cid Gomes disse que problema no Brasil não é corrupção.

Esse sabe muito. #sqn segundo a FIESP, o custo da corrupção (práticas corruptas) no Brasil é de 2,3% do PIB nacional.

Como o PIB de 2018 foi de R$ 6,8 Tri. temos que a bagatea de R$ 156 Bi. vão para o ralo com a corrupção!",,1
RT @FlavianaOrge: Todos com reputação ilibada e honestidade acima de qualquer suspeita. #SQN #DetonaTudoMoro https://t.co/HDXzxN5aJu,,1
