text,in_reply,quoted_text,is_sarcastic
eu vou usar esse meme novo pra tudo agr https://t.co/wosR4vWKZZ,,,0
"[05/07/2019 11:33:34 PM]: Preciso de um abraço teu agora
 [05/07/2019 11:33:45 PM]: É o melhor remédio !!!

...❤️",,,0
", gamek a direita, frente ao insutec tem uma farmácia  é 1500.
Espero ter ajudado. https://t.co/tJDSbPm3XU",,Porra pílula do dia seguinte 8 mil?? Isso é um absurdo. Txe!!,0
@juuhurisini você é incrível,Tão perfeita https://t.co/UmNufDqUm5,,0
osh qq eu to fazendo acordada ainda,,,0
Enquanto meu pé estiver gelado eu não durmo,,,0
"@Toddy_30 nossa, quanto amor",Nathan é brabo,,0
"@_IRONY_ ah, vou dar uma olha nessa página. obrigado, querido! (hoje, eu leio pouco gibis, uma coisa ou outra. o que estou colecionando é ""peanuts completo"" e ""akira"". ""invisíveis"" já completei.)","@_IRONY_ migo, boiei! desculpas! tinha visto lá na amazon os volumes 4 e 5 quando botei os volumes 2 e 3 na minha lista de desejos. apareceram pra mim os volumes 4 e 5 e eu: uau! agora que você falou isso, me deu uma desconfiança e voltei lá pra conferir: são as edições em inglês. rs!",,0
Abençoa papai 🙏 https://t.co/C1bdHxgBA2,,Saudade do que a gente não viveu ainda https://t.co/e76indOYnT,0
"@Edgard_Piccoli @ggreenwald @SF_Moro Olá @Edgard_Piccoli te entendo kkk. o mais estranho é q as pessoas ñ percebe que a primeira, segunda, terceira instância e vários juízes e outros grandes juristas de todo o mundo então errados, e claro vc um grande jornalista e apresentador está correto.🤔","Se @ggreenwald se revelar um mau sujeito, não me diz respeito, que a lei norteie seu destino. Se @SF_Moro se revelar um mau sujeito, diz respeito à todos nós. Seria no caso, o Estado persecutório, inquisidor vestindo a toga, caso típico de regimes ditatoriais, autoritários.",,0
o auge da amizade https://t.co/Z4YVpT7xML,,Já fizeram isso gays? https://t.co/XyepKJwj7O,0
só MPB p mente 😆,,,0
Menstruação de julho já está pagaaa,,,0
to com uma música da beyonce na cabeça e ela é MUITO VELHA,,,0
"@michelnigroprod Gente qual foi a graça??? Eu sou uma criança, uai. Não entendo dessas coisas",@oandresouza_ KAKAKAKAKA,,0
quero dizer q eu sou apx pelo Karev e ele me irrita de tão perfeito,,,0
@fabianoloureiro Brigando,"@_dannae Falando neles, como estão?",,0
"@tezudogostoso Vixi unfollow aqui rapidão
O q tem d tezudo tem d bolsominon","É melhor o presidente não levar esse cara, ele vai ser vaiado e a mídia  corrupta vai dizer que o vaiado foi Bolsonaro https://t.co/ICgzZbjrLp",,0
@batmarcu @jutsubra de nada :),@coelhoboeira @jutsubra a obg,,0
