text,in_reply,is_sarcastic
"@HeidyTwitta @Ivonete43808631 @powercouple MAS OU MAIS tanto faz oque importa é Deus na minha vida, se sua vida não tem Deus e sim esses argumentos de ""INTELIGENTE"" #sqn então que pena kkkkkk","@mandinha22222 @Ivonete43808631 @powercouple Gente a pessoa não sabe diferenciar o MAS DO MAIS...

QUE PREGUIÇA!",1
"Aquela velha cara de preocupação... #SQN

#Boatarde #Bear #Urso #Ursinho #Tosado #Beard #beardstyles #Barbudinho #Barbudo #cama #ursoslindosdobrasil #Goodvibes #goodafternoon #LittleBear em Natal, Rio Grande do Norte https://t.co/hTYqxMoIAq",,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
RT @Regina_Iorio: Isto porque nesse governo não tem ideologia. #sqn É uma vergonha o que eles estão fazendo! https://t.co/cU7FtTq8R1,,1
"Como eu soltei pombas brancas e ""abracei"" a Lagoa, com certeza as armas nas mãos desses vagabundos não me farão mal algum!!! #SQN https://t.co/bIkuVGABnz",,1
"RT @DillRusseffi: Agradeço(#sqn) aos 48 senadores que tiraram o direito de nós, brasileiros de bem,  termos uma arma para nos defendermos,…",,1
"@Fasalles Homem honesto, comprometido com o Brasil. Trabalha pela prosperidade do povo.
#sqn
Isso é o que eu gostaria que ele fosse, mas é tudo ao contrário 😰","O que vcs acham do Renan Canalheiro? Deixem aqui o seu apreço.
#DetonaTudoMoro https://t.co/gjxT0NrBUp",1
"@ludj @pablovillaca @TheInterceptBr Se o Ratinho, Dallagnol e o Moro disseram então deve ser verdade kkkk #sqn","Moro no Senado disse que o @TheInterceptBr é sensacionalista. Credibilidade mesmo quem tem é o Ratinho, né?",1
"Agora com vcs o”CRIMINOSO MOR” o Sr.Excelentíssimo #SQN ,senador RENAN CALHEIROS  na CCJ esse país é uma piada  Ñ é mesmo @SenadoFederal um criminoso interrogando um ex juiz e agora MINISTRO DA JUSTIÇA COM LOUVOR . #DetonaTudoMoro",,1
@DZlia3 @senna70 Cobrei isso do Senador Randolfe e olhe o que ganhei.... Super coerente e democrático.... #sqn https://t.co/nuaOxe13uj,"Eu gostaria, de todo coração,  que já encerrada a votação sobre o decreto das armas no Senado, fossem suspensos os direitos de segurança particular e carro blindado para os 47 senadores que votaram contra.
Daria- me por satisfeita.",1
Renan Calheiros sempre defendeu a Lava Jato. #sqn #pqp,,1
"Maneira a lei dos canudinhos, olha como diminuiu a quantidade de plástico. #sqn https://t.co/xyhJtdtAsI",,1
Só um choop de vinho🍷🍷 na minha vida rsrs #sqn,,1
@Klesiapgmailco1 Nenhuma surpresa! Alias os índices de violência no Ceara são baixíssimos...#sqn,OS 3 SANADORES DO CEARÁ VOTARAM PARA DESARMAR O CIDADÃO https://t.co/1ZXrFJGB4i,1
Carlos Bolsanaro erra ao se referir a Suiça - Esse video foi gravado nos EUA ou Suiça paises altamente armados . #SQN  https://t.co/Vp2Hkfm6gr,,1
Nunca ouvi tanto na minha vida: “eu sempre defendi a lava jato” 🤣🤣🤣 #sqn,,1
"@BolsonaroSP E o seu governo esta fazendo muito pela educação, para lutar contra esse tipo de coisa, né? #sqn",,1
